video_id,title,description,publish_date,duration,view_count,like_count,url,thumbnail,processing_status,processing_date,transcript_path,embeddings_status,embeddings_date,embeddings_count
ZMOJR5ueEkc,"""Are Your Feet Dirty?"" John 13:1-16","Fellowship Baptist Church - Oakton, VA 
September 10, 2023 (Morning Worship)",20230910,3107,3,0,https://www.youtube.com/watch?v=ZMOJR5ueEkc,https://i.ytimg.com/vi/ZMOJR5ueEkc/maxresdefault.jpg,processed,2025-04-16T00:36:28.016435,C:\Users\rdw71\Documents\Python\sermon-library\transcription\data\transcripts\ZMOJR5ueEkc.json,pending,,0
eXtodevZP38,"""The Proclamation Of Naaman"" II Kings 5:1-19","Fellowship Baptist Church - Oakton, VA 
August 27, 2023 (Morning Worship)",20230828,2865,8,0,https://www.youtube.com/watch?v=eXtodevZP38,https://i.ytimg.com/vi/eXtodevZP38/maxresdefault.jpg,processed,2025-04-16T00:41:26.626571,C:\Users\rdw71\Documents\Python\sermon-library\transcription\data\transcripts\eXtodevZP38.json,pending,,0
MdhI7Kwc2nw,"""The Lord Was With Joseph - Part 2"" Genesis 39:7-19","Fellowship Baptist Church - Oakton, VA 
August 27, 2023 (Evening Worship)",20230828,1887,5,0,https://www.youtube.com/watch?v=MdhI7Kwc2nw,https://i.ytimg.com/vi/MdhI7Kwc2nw/maxresdefault.jpg,processed,2025-04-16T00:44:39.338162,C:\Users\rdw71\Documents\Python\sermon-library\transcription\data\transcripts\MdhI7Kwc2nw.json,pending,,0
9sPgxyftngs,"""The Lord Was With Joseph - Part 1"" Genesis 39:1-6","Fellowship Baptist Church - Oakton, VA 
August 20, 2023 (Evening Worship)",20230821,2622,6,1,https://www.youtube.com/watch?v=9sPgxyftngs,https://i.ytimg.com/vi/9sPgxyftngs/maxresdefault.jpg,processed,2025-04-16T00:49:06.969933,C:\Users\rdw71\Documents\Python\sermon-library\transcription\data\transcripts\9sPgxyftngs.json,pending,,0
Qw84YBHvTq4,"""The Proclamation Of Rahab"" Joshua 2:8-21","Fellowship Baptist Church - Oakton, VA 
August 20, 2023 (Morning Worship)",20230821,2918,5,0,https://www.youtube.com/watch?v=Qw84YBHvTq4,https://i.ytimg.com/vi/Qw84YBHvTq4/maxresdefault.jpg,processed,2025-04-16T00:54:06.884524,C:\Users\rdw71\Documents\Python\sermon-library\transcription\data\transcripts\Qw84YBHvTq4.json,pending,,0
yiyc0K-2BUA,"""Lessons From Joash"" II Chronicles 24:1-27","Fellowship Baptist Church - Oakton, VA 
August 13, 2023 (Evening Worship)",20230814,2595,8,0,https://www.youtube.com/watch?v=yiyc0K-2BUA,https://i.ytimg.com/vi/yiyc0K-2BUA/maxresdefault.jpg,processed,2025-04-16T00:58:44.893823,C:\Users\rdw71\Documents\Python\sermon-library\transcription\data\transcripts\yiyc0K-2BUA.json,pending,,0
8h5bAwPFWSc,"""The Proclamation Of Jethro"" Exodus 18:1-12","Fellowship Baptist Church - Oakton, VA 
August 13, 2023 (Morning Worship)",20230814,2608,13,0,https://www.youtube.com/watch?v=8h5bAwPFWSc,https://i.ytimg.com/vi/8h5bAwPFWSc/hqdefault.jpg?sqp=-oaymwEmCOADEOgC8quKqQMa8AEB-AH-CYAC0AWKAgwIABABGGUgXCg7MA8=&rs=AOn4CLC9Lw4hsaRJBtYi8vU-wzBSgueG1A,processed,2025-04-16T01:03:27.980970,C:\Users\rdw71\Documents\Python\sermon-library\transcription\data\transcripts\8h5bAwPFWSc.json,pending,,0
WBmULZEQcX8,"""The Wickedness Of Judah"" Genesis 38:1-30","Fellowship Baptist Church - Oakton, VA 
August 6, 2023 (Evening Worship)",20230809,2989,3,0,https://www.youtube.com/watch?v=WBmULZEQcX8,https://i.ytimg.com/vi/WBmULZEQcX8/hqdefault.jpg?sqp=-oaymwEmCOADEOgC8quKqQMa8AEB-AH-CYAC0AWKAgwIABABGHIgZCg-MA8=&rs=AOn4CLBNXkTvYhD5tci0L4-1QhnojaKqwg,processed,2025-04-16T01:08:42.549098,C:\Users\rdw71\Documents\Python\sermon-library\transcription\data\transcripts\WBmULZEQcX8.json,pending,,0
_utmsqe125g,"""Present With The Lord"" II Corinthians 5:1-9","Fellowship Baptist Church - Oakton, VA 
August 6, 2023 (Morning Worship)",20230809,3358,6,1,https://www.youtube.com/watch?v=_utmsqe125g,https://i.ytimg.com/vi/_utmsqe125g/maxresdefault.jpg,processed,2025-04-16T01:14:37.506496,C:\Users\rdw71\Documents\Python\sermon-library\transcription\data\transcripts\_utmsqe125g.json,pending,,0
7MaW7QDG15s,"""Living For Jesus"" John 6:66-69","Fellowship Baptist Church - Oakton, VA 
July 30, 2023 (Evening Worship)",20230801,2276,11,0,https://www.youtube.com/watch?v=7MaW7QDG15s,https://i.ytimg.com/vi/7MaW7QDG15s/hqdefault.jpg?sqp=-oaymwEmCOADEOgC8quKqQMa8AEB-AH-CYAC0AWKAgwIABABGHIgXig0MA8=&rs=AOn4CLBKJyUzvEfYCamB85r4Ol-0Of_TiQ,processed,2025-04-16T01:18:29.374082,C:\Users\rdw71\Documents\Python\sermon-library\transcription\data\transcripts\7MaW7QDG15s.json,pending,,0
